"PID","MS.SubClass","Lot.Frontage","Lot.Area","Overall.Qual","Overall.Cond","Year.Built","Year.Remod.Add","Mas.Vnr.Area","BsmtFin.SF.1","BsmtFin.SF.2","Bsmt.Unf.SF","Total.Bsmt.SF","X1st.Flr.SF","X2nd.Flr.SF","Low.Qual.Fin.SF","Gr.Liv.Area","Bsmt.Full.Bath","Bsmt.Half.Bath","Full.Bath","Half.Bath","Bedroom.AbvGr","Kitchen.AbvGr","TotRms.AbvGrd","Fireplaces","Garage.Yr.Blt","Garage.Cars","Garage.Area","Wood.Deck.SF","Open.Porch.SF","Enclosed.Porch","X3Ssn.Porch","Screen.Porch","Pool.Area","Misc.Val","Mo.Sold","Yr.Sold","SalePrice"
528176070,60,105,13650,8,5,2002,2002,232,578,0,1093,1671,1687,563,0,2250,1,0,2,1,3,1,7,1,2002,3,756,238,130,0,0,0,0,0,6,2010,320000
528180070,120,61,7658,9,5,2005,2005,412,456,0,1296,1752,1752,0,0,1752,1,0,2,0,2,1,6,1,2005,2,576,196,82,0,0,0,0,0,2,2010,319900
528181050,120,41,7132,8,5,2006,2006,178,24,0,1346,1370,1370,0,0,1370,0,0,2,0,2,1,6,1,2006,2,484,120,49,0,0,0,0,0,4,2010,205000
528188120,160,36,2628,7,5,2003,2003,106,0,0,764,764,764,862,0,1626,0,0,2,1,2,1,6,0,2003,2,474,0,27,0,0,0,0,0,6,2010,175500
528228285,120,43,3203,7,5,2006,2006,14,16,0,1129,1145,1145,0,0,1145,0,0,2,0,2,1,6,0,2006,2,437,100,116,0,0,0,0,0,1,2010,160000
528228440,120,43,3182,8,5,2004,2005,16,24,0,1232,1256,1269,0,0,1269,0,0,2,0,2,1,6,1,2004,2,430,146,20,0,0,144,0,0,4,2010,192000
528231020,80,67,13300,7,5,2004,2004,0,326,0,58,384,744,630,0,1374,1,0,2,1,3,1,7,1,2004,2,400,100,0,0,0,0,0,0,6,2010,184500
528240070,60,68,7851,6,5,2002,2002,0,625,0,235,860,860,1100,0,1960,1,0,2,1,4,1,8,2,2002,2,440,288,48,0,0,0,0,0,5,2010,216500
528344070,60,60,17433,8,5,1998,1998,114,0,0,1629,1629,1645,830,0,2475,0,0,2,1,4,1,7,1,1998,3,962,23,172,0,0,256,0,0,1,2010,355000
528358010,20,59,10593,7,5,1996,1996,338,919,0,801,1720,1720,0,0,1720,1,0,2,0,3,1,7,1,1996,2,527,240,56,154,0,0,0,0,3,2010,260400
528363130,60,98,12256,8,5,1994,1995,362,1032,0,431,1463,1500,1122,0,2622,1,0,2,1,3,1,9,2,1994,2,712,186,32,0,0,0,0,0,4,2010,325000
528382020,60,92,11764,8,7,1999,2007,348,524,0,628,1152,1164,1106,0,2270,0,0,2,1,4,1,9,1,1999,3,671,132,57,0,0,0,0,0,4,2010,290000
528386040,50,56,14720,8,5,1995,1996,579,816,0,1217,2033,2053,1185,0,3238,1,0,2,1,4,1,9,1,1996,3,666,283,86,0,0,0,0,0,3,2010,410000
528445060,20,73,8987,8,5,2005,2006,226,0,0,1595,1595,1595,0,0,1595,0,0,2,0,2,1,6,1,2005,3,880,144,0,0,0,0,0,0,5,2010,221500
528458070,60,72,8640,7,5,2009,2009,0,24,0,732,756,764,783,0,1547,0,0,2,1,3,1,7,0,2009,2,614,169,45,0,0,0,0,0,6,2010,215200
528477080,60,100,12552,7,5,2004,2005,0,222,0,769,991,991,956,0,1947,0,0,2,1,3,1,8,1,2004,2,678,0,136,0,0,0,0,0,5,2010,254900
531369060,60,70,11920,7,5,2004,2004,122,0,0,831,831,831,828,0,1659,0,0,2,1,3,1,8,0,2004,2,484,144,68,0,0,0,0,0,4,2010,181000
531451110,120,50,8012,6,5,1980,1980,0,543,119,261,923,923,0,0,923,0,0,2,0,2,1,5,1,1980,1,264,80,0,0,0,0,0,0,5,2010,143000
531452020,120,55,7892,6,5,1979,1979,0,0,0,918,918,918,0,0,918,0,0,2,0,2,1,5,1,1979,1,264,28,0,0,0,0,0,0,4,2010,99500
531452180,60,68,9453,7,7,1993,2003,0,402,0,594,996,1014,730,0,1744,0,0,2,1,3,1,7,0,1993,2,457,370,70,0,238,0,0,0,2,2010,194500
532351140,90,68,8930,6,5,1978,1978,0,0,0,0,0,1318,584,0,1902,0,0,2,0,4,2,8,0,1978,2,539,0,0,0,0,0,0,0,4,2010,112000
532354090,85,88,11782,5,7,1961,1995,0,899,0,210,1109,1155,0,0,1155,1,0,1,0,3,1,6,0,1987,2,576,192,0,0,0,0,0,400,6,2010,148000
533130160,60,88,11134,8,5,1992,1993,180,1129,0,261,1390,1402,823,0,2225,1,0,2,1,4,1,7,1,1992,3,713,198,30,0,0,0,0,0,6,2010,285000
533205060,120,25,4835,7,5,2004,2005,0,1298,0,190,1488,1488,0,0,1488,1,0,2,0,2,1,6,1,2004,2,506,168,50,0,0,0,0,0,3,2010,260000
533210060,160,30,3215,7,5,2004,2004,120,280,0,320,600,600,600,0,1200,0,0,2,1,2,1,4,0,2004,2,480,0,172,0,0,0,0,0,4,2010,155000
533212010,160,30,3182,7,5,2004,2005,0,0,0,600,600,600,600,0,1200,0,0,2,1,2,1,4,0,2004,2,480,0,172,0,0,0,0,0,6,2010,151000
533212020,160,24,2544,7,5,2004,2005,0,368,42,190,600,600,600,0,1200,1,0,2,1,2,1,4,0,2004,2,480,0,172,0,0,0,0,0,2,2010,149500
533221090,160,68,2117,6,5,2000,2000,216,378,0,378,756,769,804,0,1573,0,0,2,1,3,1,5,0,2000,2,440,0,32,0,0,0,0,0,6,2010,177500
533221110,160,68,2980,6,5,2000,2000,1159,466,0,290,756,756,756,0,1512,1,0,2,1,2,1,5,0,2000,2,440,0,32,0,0,0,0,0,5,2010,177000
533244030,60,68,7379,8,5,2000,2000,0,484,0,491,975,975,873,0,1848,1,0,2,1,3,1,7,1,2000,2,592,280,184,0,0,0,0,0,4,2010,254000
533253060,120,30,4420,8,5,1980,1980,0,728,0,0,728,788,0,0,788,1,0,1,0,1,1,3,1,1980,2,484,133,42,0,0,0,0,0,6,2010,155000
533352170,60,68,13517,6,8,1976,2005,289,533,0,192,725,725,754,0,1479,0,0,2,1,3,1,6,0,1976,2,475,0,44,0,0,0,0,0,3,2010,130500
534102025,20,80,8000,7,5,2002,2002,0,833,0,659,1492,1492,0,0,1492,1,0,2,0,3,1,6,1,2002,2,596,277,137,0,0,0,0,0,4,2010,230000
534151175,60,80,10791,6,5,1993,1993,0,1137,0,143,1280,1280,1215,0,2495,1,0,2,1,4,1,9,1,1993,2,660,224,32,0,0,0,0,0,3,2010,243500
534152050,20,68,10603,6,7,1977,2001,28,1200,0,410,1610,1610,0,0,1610,1,0,2,0,3,1,6,2,1977,2,480,168,68,0,0,0,0,0,2,2010,205000
534152070,50,68,18837,6,5,1978,1978,0,687,46,491,1224,1287,604,0,1891,0,1,3,0,3,1,7,1,1978,2,678,0,69,0,0,0,0,0,4,2010,212500
534152100,60,80,10421,7,5,1988,1988,42,394,0,586,980,980,734,0,1714,0,0,2,1,3,1,7,1,1988,2,496,228,66,156,0,0,0,500,3,2010,196500
534176060,20,78,9360,6,7,1972,2006,0,982,0,179,1161,1381,0,0,1381,1,0,1,1,3,1,5,1,1972,2,676,0,0,0,0,0,0,0,3,2010,197500
534176230,60,80,9600,6,6,1971,1971,0,329,0,386,715,930,715,0,1645,0,0,1,2,4,1,7,0,1971,2,441,0,78,0,0,0,0,0,6,2010,171000
534202160,20,80,9600,5,5,1966,1966,172,698,0,534,1232,1232,0,0,1232,1,0,1,1,3,1,6,0,1966,2,490,0,224,0,0,0,0,0,4,2010,142250
534251320,20,68,9790,6,5,1963,1963,451,569,81,678,1328,1328,0,0,1328,1,0,1,1,3,1,6,2,1963,2,528,0,26,0,0,0,0,0,6,2010,143000
534276360,20,77,9320,4,5,1959,1959,0,569,0,381,950,1225,0,0,1225,1,0,1,1,3,1,6,0,1979,0,0,352,0,0,0,0,0,400,1,2010,128950
534401110,20,90,9900,5,5,1966,1966,0,1059,0,150,1209,1209,0,0,1209,1,0,1,0,3,1,6,0,1966,2,504,0,0,120,0,0,0,0,4,2010,159000
534401140,20,88,9680,5,6,1967,1967,268,1010,0,500,1510,1510,0,0,1510,1,0,2,0,3,1,6,0,1967,2,517,0,40,0,0,204,0,0,4,2010,178900
534403360,80,68,10600,6,5,1964,1964,0,0,0,533,533,1131,644,0,1775,0,0,2,0,3,1,8,0,1964,2,480,0,172,0,0,0,0,0,5,2010,136300
534403410,80,68,14112,5,7,1964,1964,86,1014,0,138,1152,1152,0,0,1152,1,0,1,0,3,1,6,1,1964,2,484,227,0,0,0,0,0,0,4,2010,180500
534430080,20,68,9717,5,6,1950,1996,0,49,1029,0,1078,1078,0,0,1078,1,0,1,0,2,1,5,0,1950,1,240,366,0,112,0,0,0,0,4,2010,142125
534451150,30,55,5350,3,2,1940,1966,0,0,0,728,728,1306,0,0,1306,0,0,1,0,3,1,6,0,1979,0,0,263,0,0,0,0,0,450,5,2010,76500
534475100,20,80,9920,5,5,1954,1954,110,354,290,412,1056,1063,0,0,1063,1,0,1,0,3,1,6,0,1954,1,280,0,0,164,0,0,0,0,2,2010,128000
534476260,80,80,9600,6,6,1955,1972,164,674,132,350,1156,1520,0,0,1520,1,0,1,0,3,1,7,2,1955,1,364,0,0,189,0,0,0,0,3,2010,153000
534479320,20,78,7800,5,6,1954,1954,200,540,0,728,1268,1268,0,0,1268,0,0,1,0,2,1,7,1,1954,1,244,0,98,0,0,0,0,0,3,2010,132000
535101020,85,75,11380,6,8,1966,2008,216,944,0,136,1080,1128,0,0,1128,1,0,1,0,2,1,5,1,1966,1,315,238,0,0,0,0,0,1500,1,2010,178000
535106190,90,80,11600,5,5,1960,1960,361,443,0,662,1105,1105,1169,0,2274,0,0,2,0,5,2,12,0,1960,2,480,0,0,0,0,0,0,0,1,2010,154300
535152010,90,70,8267,5,5,1958,1958,0,0,0,1604,1604,1604,0,0,1604,0,0,2,0,4,2,8,0,1958,2,576,42,0,0,0,0,0,0,3,2010,135000
535152050,20,70,8197,7,5,2003,2009,506,1188,0,292,1480,1480,0,0,1480,1,0,2,0,3,1,7,0,2003,2,620,252,73,0,0,0,0,300,2,2010,214000
535152130,20,68,8050,5,5,1959,1959,150,856,162,125,1143,1143,0,0,1143,1,0,1,0,3,1,6,0,1959,1,308,0,0,0,0,0,0,0,5,2010,136000
535152150,20,70,10552,5,5,1959,1959,0,1018,0,380,1398,1700,0,0,1700,0,1,1,1,4,1,6,1,1959,2,447,0,38,0,0,0,0,0,4,2010,165500
535153070,20,73,8760,6,6,1959,1959,220,0,0,1194,1194,1194,0,0,1194,1,0,1,0,3,1,6,0,1959,1,312,0,0,120,0,0,0,0,4,2010,148000
535154050,20,68,12160,5,5,1959,1959,180,1000,0,188,1188,1188,0,0,1188,1,0,1,0,3,1,6,0,1959,2,531,0,0,0,0,0,0,0,5,2010,142000
535175070,20,73,9300,5,5,1960,1960,324,697,0,571,1268,1264,0,0,1264,1,0,1,0,3,1,6,2,1960,2,461,0,0,0,0,143,0,0,4,2010,167500
535179020,20,80,10032,6,5,1959,1959,432,734,0,510,1244,1580,0,0,1580,1,0,1,1,3,1,6,2,1956,2,440,0,28,0,0,160,0,0,6,2010,159500
535302080,20,60,10950,5,7,1952,1952,0,339,0,525,864,1064,0,0,1064,0,1,1,0,2,1,4,0,1952,1,318,0,0,0,0,0,0,0,5,2010,135000
535304180,20,68,7922,5,7,1953,2007,0,731,0,326,1057,1057,0,0,1057,1,0,1,0,3,1,5,0,1953,1,246,0,52,0,0,0,0,0,1,2010,109000
535327140,20,60,7200,5,7,1955,2007,0,0,0,0,0,827,0,0,827,0,0,1,0,2,1,5,1,1967,1,392,0,0,0,0,0,0,0,4,2010,107500
535350040,20,74,5868,5,7,1956,2000,0,248,240,448,936,936,0,0,936,1,0,1,0,2,1,4,0,1956,1,308,0,0,80,0,160,0,0,5,2010,129000
535353190,50,78,17503,6,5,1948,1950,0,0,0,912,912,912,546,0,1458,0,1,1,0,3,1,6,1,1948,1,330,192,0,0,0,0,0,0,1,2010,97500
535401080,20,68,9830,5,7,1959,2006,0,72,258,733,1063,1287,0,0,1287,1,0,1,0,3,1,7,1,1997,2,576,364,17,0,0,182,0,0,3,2010,162000
535450210,50,60,8064,6,8,1948,2004,0,481,174,161,816,816,408,0,1224,1,0,1,0,3,1,5,0,1950,1,280,414,0,0,0,0,0,0,5,2010,132000
535453070,20,75,7500,5,7,1959,1994,0,340,906,0,1246,1246,0,0,1246,1,0,1,1,3,1,6,0,1959,1,305,218,0,0,0,0,0,0,5,2010,154000
535457010,20,87,10000,6,6,1962,1962,261,0,0,1116,1116,1116,0,0,1116,0,0,1,1,3,1,5,0,1962,2,440,0,0,0,0,385,0,0,2,2010,160000
535476350,20,80,9760,6,7,1963,1984,218,717,263,415,1395,1395,0,0,1395,1,0,1,0,2,1,7,1,1963,2,440,657,0,113,0,240,0,0,5,2010,192000
535477020,60,70,7700,6,5,1966,1966,351,0,0,756,756,1051,788,0,1839,0,0,1,1,4,1,7,1,1966,2,442,0,124,216,0,0,0,0,6,2010,155000
902102100,50,60,4800,4,5,1900,1954,771,48,0,661,709,1157,687,0,1844,1,0,1,0,3,1,9,2,1900,1,240,84,0,0,0,0,0,0,1,2010,80400
902106130,30,56,4485,5,7,1920,1950,0,579,0,357,936,936,0,0,936,1,0,1,0,2,1,5,1,1979,0,0,51,0,135,0,0,0,0,5,2010,109500
902110090,20,69,5805,5,7,1957,1957,0,274,1073,0,1347,1347,0,0,1347,1,1,1,0,3,1,6,0,1957,2,551,0,0,0,0,0,0,0,6,2010,143000
902128170,30,60,7200,5,7,1940,1992,294,510,0,278,788,804,0,0,804,1,0,1,0,2,1,4,2,1940,1,240,0,0,154,0,0,0,0,2,2010,119000
902206130,45,50,6900,6,7,1938,2000,0,0,0,827,827,827,424,0,1251,0,0,1,0,3,1,6,0,1938,1,240,0,0,0,0,0,0,0,1,2010,119000
902206220,50,69,11851,5,7,1948,2009,0,780,0,247,1027,1027,606,0,1633,0,0,1,0,3,1,7,1,1948,1,240,0,100,126,0,0,0,0,6,2010,129000
902207140,30,60,8520,6,8,1928,2003,0,0,0,624,624,720,0,0,720,0,0,1,0,2,1,5,0,2005,2,484,106,0,0,0,0,0,0,5,2010,105900
902305110,70,60,9600,8,9,1900,2003,0,0,0,930,930,930,636,0,1566,0,0,2,0,3,1,7,0,1930,1,288,54,228,246,0,0,0,0,4,2010,150000
902327040,50,60,10800,5,6,1915,1950,0,686,0,0,686,966,686,0,1652,1,0,2,0,4,1,7,0,1961,1,416,0,0,196,0,0,0,1200,6,2010,139000
902401060,190,100,9045,5,3,1910,1950,0,0,0,840,840,1128,1128,0,2256,0,0,2,0,4,2,12,0,1979,0,0,0,18,18,0,0,0,0,6,2010,76500
902402130,70,60,7740,4,7,1910,1950,0,0,0,622,622,741,622,0,1363,0,0,1,0,3,1,6,0,1966,2,528,0,0,0,0,168,0,0,6,2010,125500
902402250,190,60,11340,4,6,1885,1950,0,0,0,777,777,1246,1044,0,2290,0,0,2,0,4,2,11,0,1971,2,560,0,0,114,0,0,0,0,4,2010,122500
902403070,70,60,10560,6,7,1922,1994,0,283,0,455,738,868,602,0,1470,0,0,1,1,2,1,6,0,1970,2,624,0,0,0,0,0,0,0,6,2010,140750
903204040,50,53,5830,5,6,1950,1997,0,788,0,200,988,1030,582,0,1612,0,0,1,1,3,1,7,0,1950,1,363,0,0,0,0,0,0,0,3,2010,128500
903206120,75,68,7793,7,7,1922,2005,0,474,0,634,1108,1160,908,0,2068,0,0,1,1,3,1,8,1,1928,1,315,0,0,60,0,0,0,0,5,2010,209500
903225150,30,50,5000,4,7,1925,1950,0,188,0,577,765,765,0,0,765,1,0,1,0,2,1,4,0,1926,1,200,135,0,41,0,0,0,0,4,2010,87000
903227020,50,50,6000,6,6,1940,1950,0,264,0,308,572,848,348,0,1196,0,1,1,1,3,1,6,2,1973,2,576,0,0,0,0,0,0,0,3,2010,128000
903232190,50,52,6240,5,7,1936,1980,0,276,0,252,528,548,492,0,1040,0,0,1,0,2,1,5,0,1979,2,624,306,0,32,0,0,0,0,5,2010,123900
903234050,30,51,6120,6,5,1923,1950,0,960,0,164,1124,1068,0,0,1068,1,0,1,0,2,1,5,1,1923,1,288,0,0,128,0,0,0,0,3,2010,109500
903425110,70,50,10300,7,6,1921,1950,0,0,0,576,576,902,808,0,1710,0,0,2,0,3,1,9,0,1990,2,480,12,11,64,0,0,0,0,4,2010,140000
903426180,50,57,8094,4,5,1915,1950,0,0,0,888,888,888,1074,0,1962,0,0,1,1,4,1,9,1,1915,2,572,160,0,364,0,0,0,0,6,2010,149500
903476030,190,76,7630,5,9,1900,1996,0,0,0,360,360,1032,780,0,1812,0,0,2,0,4,2,8,1,1999,2,672,344,0,40,0,0,0,0,5,2010,140000
904100140,70,68,24090,7,7,1940,1950,0,0,0,1032,1032,1207,1196,0,2403,0,0,2,0,4,1,10,2,1940,1,349,56,0,318,0,0,0,0,6,2010,244400
904101110,20,100,15263,5,5,1959,1959,90,766,0,656,1422,1675,0,0,1675,0,0,2,0,3,1,8,2,1959,1,365,0,132,0,0,0,0,0,5,2010,173000
904302260,190,60,9900,5,4,1915,1950,0,1026,0,186,1212,1212,180,0,1392,1,0,1,0,3,1,6,0,1979,0,0,0,0,168,0,0,0,0,2,2010,100000
904350045,50,65,6001,6,5,1940,1950,0,368,0,232,600,600,319,0,919,0,0,1,0,3,1,5,0,1940,1,231,0,0,45,0,0,0,0,3,2010,95000
904351040,70,68,6449,4,1,1907,1950,0,73,0,634,707,942,942,0,1884,0,0,1,1,4,1,7,0,1979,0,0,0,0,239,0,0,0,0,3,2010,93369
904352190,190,60,6048,5,7,1910,1950,0,736,0,120,856,936,744,0,1680,1,0,2,0,2,2,7,1,1910,2,450,56,144,0,0,0,0,0,6,2010,114900
905101100,50,54,6342,5,8,1875,1996,0,0,0,780,780,780,240,0,1020,0,0,1,0,2,1,6,0,1979,0,0,0,0,176,0,0,0,0,5,2010,94000
905101310,90,72,10778,4,5,1968,1968,0,0,0,1768,1768,1768,0,0,1768,0,0,2,0,4,2,8,0,1979,0,0,0,0,0,0,0,0,0,4,2010,136500
905102060,190,75,11625,5,4,1965,1965,0,841,0,198,1039,1039,0,0,1039,1,0,1,1,3,1,6,0,1965,2,504,0,0,0,0,0,0,0,4,2010,131500
905105200,20,65,7800,5,7,1966,2008,47,240,474,150,864,892,0,0,892,1,0,1,0,3,1,5,0,1966,1,416,0,0,0,0,0,0,0,6,2010,137900
905106140,60,80,9364,6,7,1969,1969,143,371,0,292,663,663,689,0,1352,0,0,1,1,4,1,7,0,1969,1,299,379,36,0,0,0,0,0,3,2010,158000
905107110,90,68,7424,5,5,1978,1978,0,1319,0,0,1319,1373,0,0,1373,1,0,1,0,3,1,5,2,1978,2,591,0,0,0,0,0,0,0,5,2010,160250
905107250,60,86,11227,5,5,1968,1968,0,267,453,0,720,720,720,0,1440,0,0,1,1,4,1,7,2,1968,2,480,192,38,0,0,0,0,0,3,2010,163000
905109130,60,80,14000,7,5,1996,1997,0,1201,0,105,1306,1306,954,0,2260,1,0,2,1,3,1,7,0,1996,2,533,296,44,0,0,0,0,0,4,2010,328000
905109170,20,68,20062,7,7,1977,2001,0,1092,0,328,1420,1483,0,0,1483,1,0,1,1,1,1,4,2,1977,2,690,496,0,0,0,0,0,0,4,2010,270000
905201030,30,94,9259,4,4,1927,1950,0,0,0,660,660,756,0,0,756,0,0,1,0,2,1,4,0,1945,2,440,80,0,0,0,0,0,0,6,2010,85000
905202090,20,60,9600,4,7,1950,1995,0,442,0,625,1067,1067,0,0,1067,0,0,2,0,2,1,4,0,1996,2,436,290,0,0,0,0,0,0,2,2010,128000
905325030,40,68,23595,7,6,1979,1979,0,1258,0,74,1332,1332,192,0,1524,2,0,0,1,0,1,4,1,1979,2,586,268,0,0,0,0,0,0,4,2010,260000
905352140,60,68,17082,6,5,1978,1992,288,964,0,153,1117,1117,864,0,1981,1,0,2,1,4,1,8,1,1978,2,522,336,104,0,0,0,0,0,5,2010,230000
905378040,50,124,18600,3,4,1938,1990,0,288,684,0,972,1052,558,0,1610,0,1,2,0,4,1,8,1,1938,1,480,0,0,60,0,0,0,450,6,2010,124000
905426060,30,85,10625,5,5,1920,1950,0,108,0,350,458,835,0,0,835,0,0,1,0,2,1,5,0,1920,1,366,0,0,77,0,0,0,400,5,2010,83000
905426200,20,65,11479,6,7,1950,1987,0,104,387,172,663,1074,0,0,1074,1,0,1,0,3,1,6,1,1987,1,467,0,52,52,0,0,0,0,6,2010,144500
905452160,20,75,9525,5,7,1954,1998,0,954,0,218,1172,1172,0,0,1172,1,0,1,0,3,1,5,0,1954,1,366,240,0,0,0,0,0,0,6,2010,128000
905453080,20,44,17485,7,5,2009,2010,96,1346,0,162,1508,1508,0,0,1508,1,0,1,0,1,1,5,2,2009,2,572,0,0,0,0,0,0,0,1,2010,308030
906204230,60,87,12361,6,7,1993,1993,85,860,0,86,946,964,838,0,1802,0,1,2,1,3,1,8,1,2000,4,1017,450,92,0,0,0,0,0,5,2010,218000
906223090,60,80,9938,7,5,1993,1994,246,750,0,300,1050,1062,887,0,1949,1,0,2,1,3,1,8,1,1993,2,574,156,90,0,0,0,0,0,6,2010,236000
906225210,85,73,9069,6,6,1992,1992,0,747,0,189,936,996,0,0,996,1,0,1,0,2,1,5,0,1992,2,564,120,0,0,0,0,0,0,4,2010,147000
906378100,20,64,10475,8,5,2008,2008,72,0,0,1694,1694,1694,0,0,1694,0,0,2,0,3,1,7,0,2008,3,776,160,33,0,0,0,0,0,2,2010,245350
906385010,20,94,10402,7,5,2009,2009,0,0,0,1226,1226,1226,0,0,1226,0,0,2,0,3,1,6,0,2009,3,740,0,36,0,0,0,0,0,5,2010,198900
906385020,20,64,7360,7,5,2010,2010,80,24,0,1198,1222,1222,0,0,1222,0,0,2,0,2,1,6,0,2009,2,615,0,54,0,0,0,0,0,3,2010,187000
