"count","apparent_temperature","date","holiday","hour","humidity","month","season","temperature","weather","weekday","windspeed","working_day","year"
76,0.3333,"2011-01-02",FALSE,16,0.71,1,"winter",0.34,"3",0,0.1642,FALSE,0
65,0.3333,"2011-01-02",FALSE,17,0.57,1,"winter",0.34,"1",0,0.194,FALSE,0
53,0.3333,"2011-01-02",FALSE,18,0.46,1,"winter",0.36,"2",0,0.3284,FALSE,0
30,0.2879,"2011-01-02",FALSE,19,0.42,1,"winter",0.32,"1",0,0.4478,FALSE,0
22,0.2727,"2011-01-02",FALSE,20,0.39,1,"winter",0.3,"1",0,0.3582,FALSE,0
31,0.2273,"2011-01-02",FALSE,21,0.44,1,"winter",0.26,"1",0,0.3284,FALSE,0
9,0.2121,"2011-01-02",FALSE,22,0.44,1,"winter",0.24,"1",0,0.2985,FALSE,0
8,0.2273,"2011-01-02",FALSE,23,0.47,1,"winter",0.22,"1",0,0.1642,FALSE,0
5,0.197,"2011-01-03",FALSE,0,0.44,1,"winter",0.22,"1",1,0.3582,TRUE,0
2,0.1667,"2011-01-03",FALSE,1,0.44,1,"winter",0.2,"1",1,0.4179,TRUE,0
1,0.1364,"2011-01-03",FALSE,4,0.47,1,"winter",0.16,"1",1,0.3881,TRUE,0
3,0.1364,"2011-01-03",FALSE,5,0.47,1,"winter",0.16,"1",1,0.2836,TRUE,0
30,0.1061,"2011-01-03",FALSE,6,0.5,1,"winter",0.14,"1",1,0.3881,TRUE,0
64,0.1364,"2011-01-03",FALSE,7,0.5,1,"winter",0.14,"1",1,0.194,TRUE,0
154,0.1212,"2011-01-03",FALSE,8,0.5,1,"winter",0.14,"1",1,0.2836,TRUE,0
88,0.1364,"2011-01-03",FALSE,9,0.43,1,"winter",0.16,"1",1,0.3881,TRUE,0
44,0.1667,"2011-01-03",FALSE,10,0.43,1,"winter",0.18,"1",1,0.2537,TRUE,0
51,0.1818,"2011-01-03",FALSE,11,0.4,1,"winter",0.2,"1",1,0.3284,TRUE,0
61,0.2121,"2011-01-03",FALSE,12,0.35,1,"winter",0.22,"1",1,0.2985,TRUE,0
61,0.2121,"2011-01-03",FALSE,13,0.35,1,"winter",0.24,"1",1,0.2836,TRUE,0
77,0.2424,"2011-01-03",FALSE,14,0.3,1,"winter",0.26,"1",1,0.2836,TRUE,0
72,0.2424,"2011-01-03",FALSE,15,0.3,1,"winter",0.26,"1",1,0.2537,TRUE,0
76,0.2424,"2011-01-03",FALSE,16,0.3,1,"winter",0.26,"1",1,0.2537,TRUE,0
157,0.2273,"2011-01-03",FALSE,17,0.3,1,"winter",0.24,"1",1,0.2239,TRUE,0
157,0.2576,"2011-01-03",FALSE,18,0.32,1,"winter",0.24,"1",1,0.1045,TRUE,0
110,0.2576,"2011-01-03",FALSE,19,0.47,1,"winter",0.2,"1",1,0,TRUE,0
52,0.2273,"2011-01-03",FALSE,20,0.47,1,"winter",0.2,"1",1,0.1045,TRUE,0
52,0.197,"2011-01-03",FALSE,21,0.64,1,"winter",0.18,"1",1,0.1343,TRUE,0
20,0.1515,"2011-01-03",FALSE,22,0.69,1,"winter",0.14,"1",1,0.1343,TRUE,0
12,0.2121,"2011-01-03",FALSE,23,0.55,1,"winter",0.18,"1",1,0.1045,TRUE,0
5,0.1818,"2011-01-04",FALSE,0,0.55,1,"winter",0.16,"1",2,0.1045,TRUE,0
2,0.1818,"2011-01-04",FALSE,1,0.59,1,"winter",0.16,"1",2,0.1045,TRUE,0
1,0.1515,"2011-01-04",FALSE,2,0.63,1,"winter",0.14,"1",2,0.1343,TRUE,0
2,0.1818,"2011-01-04",FALSE,4,0.63,1,"winter",0.14,"1",2,0.0896,TRUE,0
4,0.1515,"2011-01-04",FALSE,5,0.68,1,"winter",0.12,"1",2,0.1045,TRUE,0
36,0.1515,"2011-01-04",FALSE,6,0.74,1,"winter",0.12,"1",2,0.1045,TRUE,0
94,0.1515,"2011-01-04",FALSE,7,0.74,1,"winter",0.12,"1",2,0.1343,TRUE,0
179,0.1515,"2011-01-04",FALSE,8,0.69,1,"winter",0.14,"1",2,0.1642,TRUE,0
100,0.1515,"2011-01-04",FALSE,9,0.64,1,"winter",0.16,"1",2,0.2239,TRUE,0
42,0.1364,"2011-01-04",FALSE,10,0.69,1,"winter",0.16,"2",2,0.3284,TRUE,0
57,0.2121,"2011-01-04",FALSE,11,0.51,1,"winter",0.22,"1",2,0.2985,TRUE,0
78,0.2273,"2011-01-04",FALSE,12,0.51,1,"winter",0.22,"1",2,0.1642,TRUE,0
97,0.2273,"2011-01-04",FALSE,13,0.56,1,"winter",0.24,"1",2,0.194,TRUE,0
63,0.2576,"2011-01-04",FALSE,14,0.52,1,"winter",0.26,"1",2,0.2239,TRUE,0
65,0.2727,"2011-01-04",FALSE,15,0.52,1,"winter",0.28,"1",2,0.2537,TRUE,0
83,0.2879,"2011-01-04",FALSE,16,0.49,1,"winter",0.3,"1",2,0.2537,TRUE,0
212,0.2727,"2011-01-04",FALSE,17,0.48,1,"winter",0.28,"1",2,0.2239,TRUE,0
182,0.2576,"2011-01-04",FALSE,18,0.48,1,"winter",0.26,"1",2,0.194,TRUE,0
112,0.2576,"2011-01-04",FALSE,19,0.48,1,"winter",0.24,"1",2,0.1045,TRUE,0
54,0.2576,"2011-01-04",FALSE,20,0.48,1,"winter",0.24,"1",2,0.1045,TRUE,0
48,0.2727,"2011-01-04",FALSE,21,0.64,1,"winter",0.22,"1",2,0,TRUE,0
35,0.2576,"2011-01-04",FALSE,22,0.64,1,"winter",0.22,"1",2,0.0896,TRUE,0
11,0.2273,"2011-01-04",FALSE,23,0.69,1,"winter",0.2,"1",2,0.0896,TRUE,0
6,0.2576,"2011-01-05",FALSE,0,0.64,1,"winter",0.2,"1",3,0,TRUE,0
6,0.197,"2011-01-05",FALSE,1,0.74,1,"winter",0.16,"1",3,0.0896,TRUE,0
2,0.197,"2011-01-05",FALSE,2,0.74,1,"winter",0.16,"1",3,0.0896,TRUE,0
2,0.2273,"2011-01-05",FALSE,4,0.48,1,"winter",0.24,"1",3,0.2239,TRUE,0
3,0.2273,"2011-01-05",FALSE,5,0.47,1,"winter",0.22,"1",3,0.1642,TRUE,0
33,0.197,"2011-01-05",FALSE,6,0.47,1,"winter",0.2,"1",3,0.2239,TRUE,0
88,0.1818,"2011-01-05",FALSE,7,0.43,1,"winter",0.18,"1",3,0.194,TRUE,0
195,0.1818,"2011-01-05",FALSE,8,0.4,1,"winter",0.2,"1",3,0.2985,TRUE,0
115,0.197,"2011-01-05",FALSE,9,0.37,1,"winter",0.22,"1",3,0.3284,TRUE,0
57,0.197,"2011-01-05",FALSE,10,0.37,1,"winter",0.22,"1",3,0.3284,TRUE,0
46,0.2273,"2011-01-05",FALSE,11,0.33,1,"winter",0.26,"1",3,0.3284,TRUE,0
79,0.2273,"2011-01-05",FALSE,12,0.33,1,"winter",0.26,"1",3,0.3284,TRUE,0
71,0.2576,"2011-01-05",FALSE,13,0.3,1,"winter",0.28,"1",3,0.2985,TRUE,0
62,0.2879,"2011-01-05",FALSE,14,0.28,1,"winter",0.3,"1",3,0.194,TRUE,0
62,0.2879,"2011-01-05",FALSE,15,0.28,1,"winter",0.3,"1",3,0.194,TRUE,0
89,0.3182,"2011-01-05",FALSE,16,0.28,1,"winter",0.3,"1",3,0.0896,TRUE,0
190,0.2273,"2011-01-05",FALSE,17,0.38,1,"winter",0.24,"1",3,0.194,TRUE,0
169,0.2424,"2011-01-05",FALSE,18,0.38,1,"winter",0.24,"1",3,0.1343,TRUE,0
132,0.2576,"2011-01-05",FALSE,19,0.38,1,"winter",0.24,"1",3,0.1045,TRUE,0
89,0.2273,"2011-01-05",FALSE,20,0.47,1,"winter",0.22,"1",3,0.1642,TRUE,0
43,0.197,"2011-01-05",FALSE,21,0.51,1,"winter",0.2,"1",3,0.194,TRUE,0
42,0.197,"2011-01-05",FALSE,22,0.55,1,"winter",0.18,"1",3,0.1343,TRUE,0
19,0.2576,"2011-01-05",FALSE,23,0.47,1,"winter",0.2,"1",3,0,TRUE,0
11,0.2424,"2011-01-06",FALSE,0,0.55,1,"winter",0.18,"1",4,0,TRUE,0
4,0.2273,"2011-01-06",FALSE,1,0.64,1,"winter",0.16,"1",4,0,TRUE,0
2,0.2273,"2011-01-06",FALSE,2,0.64,1,"winter",0.16,"1",4,0,TRUE,0
1,0.197,"2011-01-06",FALSE,4,0.64,1,"winter",0.16,"2",4,0.0896,TRUE,0
4,0.1818,"2011-01-06",FALSE,5,0.69,1,"winter",0.14,"2",4,0.0896,TRUE,0
36,0.1667,"2011-01-06",FALSE,6,0.63,1,"winter",0.14,"2",4,0.1045,TRUE,0
95,0.2273,"2011-01-06",FALSE,7,0.59,1,"winter",0.16,"2",4,0,TRUE,0
219,0.2273,"2011-01-06",FALSE,8,0.59,1,"winter",0.16,"1",4,0,TRUE,0
122,0.2424,"2011-01-06",FALSE,9,0.51,1,"winter",0.18,"2",4,0,TRUE,0
45,0.2576,"2011-01-06",FALSE,10,0.47,1,"winter",0.2,"1",4,0,TRUE,0
59,0.2576,"2011-01-06",FALSE,11,0.44,1,"winter",0.22,"1",4,0.0896,TRUE,0
84,0.2879,"2011-01-06",FALSE,12,0.35,1,"winter",0.26,"1",4,0,TRUE,0
67,0.2727,"2011-01-06",FALSE,13,0.35,1,"winter",0.26,"1",4,0.1045,TRUE,0
70,0.2727,"2011-01-06",FALSE,14,0.36,1,"winter",0.28,"1",4,0.1642,TRUE,0
62,0.2727,"2011-01-06",FALSE,15,0.36,1,"winter",0.28,"1",4,0,TRUE,0
86,0.2576,"2011-01-06",FALSE,16,0.38,1,"winter",0.26,"1",4,0.1642,TRUE,0
172,0.2273,"2011-01-06",FALSE,17,0.51,1,"winter",0.22,"1",4,0.1642,TRUE,0
163,0.2273,"2011-01-06",FALSE,18,0.51,1,"winter",0.22,"1",4,0.1343,TRUE,0
112,0.2576,"2011-01-06",FALSE,19,0.55,1,"winter",0.22,"1",4,0.0896,TRUE,0
69,0.2121,"2011-01-06",FALSE,20,0.51,1,"winter",0.2,"1",4,0.1642,TRUE,0
48,0.2121,"2011-01-06",FALSE,21,0.55,1,"winter",0.22,"2",4,0.2239,TRUE,0
52,0.2121,"2011-01-06",FALSE,22,0.51,1,"winter",0.22,"2",4,0.2836,TRUE,0
23,0.197,"2011-01-06",FALSE,23,0.59,1,"winter",0.2,"2",4,0.194,TRUE,0
17,0.197,"2011-01-07",FALSE,0,0.64,1,"winter",0.2,"2",5,0.194,TRUE,0
7,0.197,"2011-01-07",FALSE,1,0.69,1,"winter",0.2,"2",5,0.2239,TRUE,0
1,0.197,"2011-01-07",FALSE,2,0.69,1,"winter",0.2,"2",5,0.2239,TRUE,0
1,0.2121,"2011-01-07",FALSE,4,0.69,1,"winter",0.2,"2",5,0.1343,TRUE,0
5,0.2727,"2011-01-07",FALSE,5,0.55,1,"winter",0.22,"3",5,0,TRUE,0
34,0.2576,"2011-01-07",FALSE,6,0.69,1,"winter",0.2,"2",5,0,TRUE,0
84,0.2121,"2011-01-07",FALSE,7,0.69,1,"winter",0.2,"1",5,0.1343,TRUE,0
210,0.197,"2011-01-07",FALSE,8,0.51,1,"winter",0.2,"1",5,0.2537,TRUE,0
134,0.1818,"2011-01-07",FALSE,9,0.47,1,"winter",0.2,"1",5,0.2985,TRUE,0
63,0.197,"2011-01-07",FALSE,10,0.37,1,"winter",0.22,"1",5,0.3284,TRUE,0
67,0.197,"2011-01-07",FALSE,11,0.4,1,"winter",0.2,"2",5,0.2239,TRUE,0
59,0.197,"2011-01-07",FALSE,12,0.37,1,"winter",0.2,"2",5,0.2537,TRUE,0
73,0.1818,"2011-01-07",FALSE,13,0.37,1,"winter",0.2,"2",5,0.2836,TRUE,0
50,0.197,"2011-01-07",FALSE,14,0.4,1,"winter",0.2,"2",5,0.2537,TRUE,0
72,0.2121,"2011-01-07",FALSE,15,0.37,1,"winter",0.2,"2",5,0.1642,TRUE,0
87,0.2121,"2011-01-07",FALSE,16,0.37,1,"winter",0.2,"2",5,0.1642,TRUE,0
187,0.2576,"2011-01-07",FALSE,17,0.37,1,"winter",0.2,"2",5,0,TRUE,0
123,0.2273,"2011-01-07",FALSE,18,0.4,1,"winter",0.2,"1",5,0.0896,TRUE,0
95,0.197,"2011-01-07",FALSE,19,0.55,1,"winter",0.16,"1",5,0.0896,TRUE,0
51,0.2121,"2011-01-07",FALSE,20,0.47,1,"winter",0.18,"1",5,0.1045,TRUE,0
39,0.197,"2011-01-07",FALSE,21,0.47,1,"winter",0.18,"1",5,0.1343,TRUE,0
36,0.197,"2011-01-07",FALSE,22,0.43,1,"winter",0.18,"2",5,0.1642,TRUE,0
15,0.197,"2011-01-07",FALSE,23,0.51,1,"winter",0.18,"2",5,0.1642,TRUE,0
25,0.197,"2011-01-08",FALSE,0,0.51,1,"winter",0.18,"2",6,0.1642,FALSE,0
16,0.2121,"2011-01-08",FALSE,1,0.55,1,"winter",0.18,"2",6,0.0896,FALSE,0
16,0.2424,"2011-01-08",FALSE,2,0.55,1,"winter",0.18,"2",6,0,FALSE,0
7,0.197,"2011-01-08",FALSE,3,0.55,1,"winter",0.18,"3",6,0.1642,FALSE,0
1,0.197,"2011-01-08",FALSE,4,0.55,1,"winter",0.18,"3",6,0.1642,FALSE,0
5,0.1667,"2011-01-08",FALSE,5,0.74,1,"winter",0.16,"2",6,0.1642,FALSE,0
2,0.1667,"2011-01-08",FALSE,6,0.74,1,"winter",0.16,"2",6,0.1642,FALSE,0
9,0.1818,"2011-01-08",FALSE,7,0.74,1,"winter",0.16,"2",6,0.1045,FALSE,0
15,0.1818,"2011-01-08",FALSE,8,0.93,1,"winter",0.16,"3",6,0.1045,FALSE,0
20,0.1818,"2011-01-08",FALSE,9,0.93,1,"winter",0.16,"3",6,0.1045,FALSE,0
61,0.197,"2011-01-08",FALSE,10,0.8,1,"winter",0.18,"2",6,0.1642,FALSE,0
62,0.1818,"2011-01-08",FALSE,11,0.69,1,"winter",0.2,"2",6,0.3881,FALSE,0
98,0.1818,"2011-01-08",FALSE,12,0.59,1,"winter",0.2,"2",6,0.3582,FALSE,0
102,0.1818,"2011-01-08",FALSE,13,0.44,1,"winter",0.2,"1",6,0.3284,FALSE,0
95,0.1667,"2011-01-08",FALSE,14,0.32,1,"winter",0.2,"1",6,0.4925,FALSE,0
74,0.1667,"2011-01-08",FALSE,15,0.32,1,"winter",0.2,"1",6,0.4478,FALSE,0
76,0.1364,"2011-01-08",FALSE,16,0.29,1,"winter",0.18,"1",6,0.4478,FALSE,0
69,0.1212,"2011-01-08",FALSE,17,0.37,1,"winter",0.16,"1",6,0.5522,FALSE,0
55,0.1212,"2011-01-08",FALSE,18,0.39,1,"winter",0.14,"1",6,0.2985,FALSE,0
30,0.1212,"2011-01-08",FALSE,19,0.36,1,"winter",0.14,"1",6,0.2537,FALSE,0
28,0.1212,"2011-01-08",FALSE,20,0.36,1,"winter",0.12,"1",6,0.2537,FALSE,0
37,0.1061,"2011-01-08",FALSE,21,0.39,1,"winter",0.12,"1",6,0.3582,FALSE,0
34,0.1061,"2011-01-08",FALSE,22,0.36,1,"winter",0.12,"1",6,0.3881,FALSE,0
22,0.0606,"2011-01-08",FALSE,23,0.39,1,"winter",0.1,"1",6,0.4478,FALSE,0
25,0.0758,"2011-01-09",FALSE,0,0.42,1,"winter",0.1,"1",0,0.3881,FALSE,0
12,0.0606,"2011-01-09",FALSE,1,0.42,1,"winter",0.1,"1",0,0.4627,FALSE,0
11,0.0606,"2011-01-09",FALSE,2,0.46,1,"winter",0.1,"1",0,0.4627,FALSE,0
4,0.0758,"2011-01-09",FALSE,3,0.46,1,"winter",0.1,"1",0,0.4179,FALSE,0
1,0.0909,"2011-01-09",FALSE,4,0.53,1,"winter",0.08,"1",0,0.194,FALSE,0
1,0.0909,"2011-01-09",FALSE,5,0.53,1,"winter",0.08,"1",0,0.194,FALSE,0
1,0.0909,"2011-01-09",FALSE,6,0.49,1,"winter",0.1,"1",0,0.2836,FALSE,0
6,0.0909,"2011-01-09",FALSE,7,0.53,1,"winter",0.08,"1",0,0.194,FALSE,0
10,0.0909,"2011-01-09",FALSE,8,0.49,1,"winter",0.1,"1",0,0.2836,FALSE,0
19,0.0758,"2011-01-09",FALSE,9,0.46,1,"winter",0.12,"1",0,0.5224,FALSE,0
49,0.1061,"2011-01-09",FALSE,10,0.43,1,"winter",0.14,"1",0,0.3881,FALSE,0
49,0.1212,"2011-01-09",FALSE,11,0.4,1,"winter",0.16,"1",0,0.5224,FALSE,0
83,0.1364,"2011-01-09",FALSE,12,0.37,1,"winter",0.18,"1",0,0.4478,FALSE,0
75,0.1667,"2011-01-09",FALSE,13,0.34,1,"winter",0.2,"1",0,0.4478,FALSE,0
72,0.1818,"2011-01-09",FALSE,14,0.32,1,"winter",0.22,"1",0,0.4627,FALSE,0
82,0.197,"2011-01-09",FALSE,15,0.35,1,"winter",0.22,"1",0,0.3582,FALSE,0
92,0.1667,"2011-01-09",FALSE,16,0.34,1,"winter",0.2,"1",0,0.4478,FALSE,0
62,0.1515,"2011-01-09",FALSE,17,0.37,1,"winter",0.18,"1",0,0.3881,FALSE,0
48,0.1364,"2011-01-09",FALSE,18,0.4,1,"winter",0.16,"1",0,0.3284,FALSE,0
41,0.1364,"2011-01-09",FALSE,19,0.43,1,"winter",0.16,"1",0,0.3284,FALSE,0
38,0.1212,"2011-01-09",FALSE,20,0.46,1,"winter",0.14,"1",0,0.2537,FALSE,0
20,0.1061,"2011-01-09",FALSE,21,0.46,1,"winter",0.14,"1",0,0.4179,FALSE,0
15,0.1212,"2011-01-09",FALSE,22,0.46,1,"winter",0.14,"1",0,0.2985,FALSE,0
6,0.1364,"2011-01-09",FALSE,23,0.5,1,"winter",0.12,"1",0,0.194,FALSE,0
5,0.1212,"2011-01-10",FALSE,0,0.5,1,"winter",0.12,"1",1,0.2836,TRUE,0
1,0.1212,"2011-01-10",FALSE,1,0.5,1,"winter",0.12,"1",1,0.2836,TRUE,0
3,0.1212,"2011-01-10",FALSE,2,0.5,1,"winter",0.12,"1",1,0.2239,TRUE,0
1,0.1212,"2011-01-10",FALSE,3,0.5,1,"winter",0.12,"1",1,0.2239,TRUE,0
3,0.1212,"2011-01-10",FALSE,4,0.54,1,"winter",0.1,"1",1,0.1343,TRUE,0
3,0.1061,"2011-01-10",FALSE,5,0.54,1,"winter",0.1,"1",1,0.2537,TRUE,0
31,0.1212,"2011-01-10",FALSE,6,0.5,1,"winter",0.12,"1",1,0.2836,TRUE,0
77,0.1212,"2011-01-10",FALSE,7,0.5,1,"winter",0.12,"1",1,0.2239,TRUE,0
188,0.1212,"2011-01-10",FALSE,8,0.5,1,"winter",0.12,"2",1,0.2836,TRUE,0
94,0.1212,"2011-01-10",FALSE,9,0.5,1,"winter",0.14,"2",1,0.2537,TRUE,0
31,0.1212,"2011-01-10",FALSE,10,0.5,1,"winter",0.14,"2",1,0.2985,TRUE,0
30,0.1364,"2011-01-10",FALSE,11,0.47,1,"winter",0.16,"2",1,0.2836,TRUE,0
52,0.1818,"2011-01-10",FALSE,12,0.4,1,"winter",0.2,"2",1,0.2836,TRUE,0
54,0.1818,"2011-01-10",FALSE,13,0.4,1,"winter",0.2,"2",1,0.2836,TRUE,0
47,0.197,"2011-01-10",FALSE,14,0.4,1,"winter",0.2,"2",1,0.2239,TRUE,0
45,0.197,"2011-01-10",FALSE,15,0.4,1,"winter",0.2,"2",1,0.2239,TRUE,0
74,0.2121,"2011-01-10",FALSE,16,0.4,1,"winter",0.2,"1",1,0.1343,TRUE,0
178,0.2273,"2011-01-10",FALSE,17,0.4,1,"winter",0.2,"1",1,0.1045,TRUE,0
155,0.197,"2011-01-10",FALSE,18,0.4,1,"winter",0.2,"1",1,0.2239,TRUE,0
95,0.1667,"2011-01-10",FALSE,19,0.47,1,"winter",0.16,"1",1,0.1642,TRUE,0
74,0.1667,"2011-01-10",FALSE,20,0.5,1,"winter",0.16,"1",1,0.1642,TRUE,0
38,0.1364,"2011-01-10",FALSE,21,0.59,1,"winter",0.14,"1",1,0.194,TRUE,0
24,0.1515,"2011-01-10",FALSE,22,0.59,1,"winter",0.14,"1",1,0.1642,TRUE,0
18,0.1515,"2011-01-10",FALSE,23,0.59,1,"winter",0.14,"1",1,0.1642,TRUE,0
12,0.1667,"2011-01-11",FALSE,0,0.59,1,"winter",0.14,"1",2,0.1045,TRUE,0
3,0.1515,"2011-01-11",FALSE,1,0.59,1,"winter",0.14,"1",2,0.1642,TRUE,0
3,0.1515,"2011-01-11",FALSE,2,0.55,1,"winter",0.16,"2",2,0.194,TRUE,0
6,0.1818,"2011-01-11",FALSE,5,0.55,1,"winter",0.16,"2",2,0.1343,TRUE,0
27,0.1818,"2011-01-11",FALSE,6,0.55,1,"winter",0.16,"2",2,0.1343,TRUE,0
99,0.2273,"2011-01-11",FALSE,7,0.55,1,"winter",0.16,"2",2,0,TRUE,0
217,0.2121,"2011-01-11",FALSE,8,0.51,1,"winter",0.18,"2",2,0.0896,TRUE,0
130,0.197,"2011-01-11",FALSE,9,0.51,1,"winter",0.18,"2",2,0.1642,TRUE,0
54,0.2121,"2011-01-11",FALSE,10,0.51,1,"winter",0.2,"2",2,0.1642,TRUE,0
35,0.2121,"2011-01-11",FALSE,11,0.47,1,"winter",0.2,"2",2,0.1343,TRUE,0
57,0.2273,"2011-01-11",FALSE,12,0.51,1,"winter",0.2,"2",2,0.1045,TRUE,0
52,0.2273,"2011-01-11",FALSE,13,0.59,1,"winter",0.2,"2",2,0.0896,TRUE,0
63,0.2273,"2011-01-11",FALSE,14,0.59,1,"winter",0.2,"2",2,0.0896,TRUE,0
47,0.197,"2011-01-11",FALSE,15,0.8,1,"winter",0.16,"2",2,0.0896,TRUE,0
76,0.1515,"2011-01-11",FALSE,16,0.86,1,"winter",0.16,"2",2,0.2239,TRUE,0
136,0.1515,"2011-01-11",FALSE,17,0.86,1,"winter",0.16,"2",2,0.2239,TRUE,0
95,0.1818,"2011-01-11",FALSE,18,0.93,1,"winter",0.16,"3",2,0.1045,TRUE,0
51,0.2273,"2011-01-11",FALSE,19,0.93,1,"winter",0.16,"3",2,0,TRUE,0
32,0.1515,"2011-01-11",FALSE,20,0.93,1,"winter",0.16,"3",2,0.194,TRUE,0
20,0.197,"2011-01-11",FALSE,21,0.86,1,"winter",0.16,"3",2,0.0896,TRUE,0
29,0.1818,"2011-01-11",FALSE,22,0.93,1,"winter",0.16,"3",2,0.1045,TRUE,0
19,0.197,"2011-01-11",FALSE,23,0.93,1,"winter",0.16,"3",2,0.0896,TRUE,0
7,0.197,"2011-01-12",FALSE,0,0.86,1,"winter",0.16,"2",3,0.0896,TRUE,0
6,0.1818,"2011-01-12",FALSE,1,0.86,1,"winter",0.16,"2",3,0.1045,TRUE,0
1,0.1515,"2011-01-12",FALSE,2,0.86,1,"winter",0.14,"1",3,0.1343,TRUE,0
5,0.1515,"2011-01-12",FALSE,5,0.86,1,"winter",0.14,"1",3,0.1642,TRUE,0
16,0.1515,"2011-01-12",FALSE,6,0.93,1,"winter",0.12,"1",3,0.1343,TRUE,0
54,0.1515,"2011-01-12",FALSE,7,0.69,1,"winter",0.14,"1",3,0.1343,TRUE,0
128,0.1667,"2011-01-12",FALSE,8,0.59,1,"winter",0.16,"1",3,0.1642,TRUE,0
81,0.1364,"2011-01-12",FALSE,9,0.59,1,"winter",0.16,"1",3,0.3284,TRUE,0
39,0.1818,"2011-01-12",FALSE,10,0.55,1,"winter",0.18,"1",3,0.2239,TRUE,0
