"Survived","PassengerId"
"0",892:1309
"0",892:1309
"0",892:1309
"0",892:1309
"0",892:1309
"0",892:1309
"0",892:1309
"1",892:1309
"0",892:1309
"0",892:1309
"0",892:1309
"0",892:1309
"0",892:1309
"0",892:1309
"0",892:1309
"1",892:1309
"1",892:1309
"0",892:1309
"1",892:1309
"0",892:1309
"0",892:1309
"0",892:1309
"0",892:1309
"0",892:1309
"0",892:1309
"1",892:1309
"1",892:1309
"0",892:1309
"0",892:1309
"0",892:1309
"0",892:1309
"0",892:1309
"0",892:1309
"0",892:1309
"1",892:1309
"1",892:1309
"0",892:1309
"1",892:1309
"0",892:1309
"0",892:1309
"0",892:1309
"1",892:1309
"0",892:1309
"0",892:1309
"1",892:1309
"0",892:1309
"1",892:1309
"0",892:1309
"0",892:1309
"0",892:1309
"1",892:1309
"0",892:1309
"0",892:1309
"0",892:1309
"1",892:1309
"1",892:1309
"1",892:1309
"0",892:1309
"0",892:1309
"0",892:1309
"1",892:1309
"1",892:1309
"0",892:1309
"0",892:1309
"0",892:1309
"1",892:1309
"1",892:1309
"1",892:1309
"0",892:1309
"0",892:1309
"1",892:1309
"0",892:1309
"1",892:1309
"1",892:1309
"0",892:1309
"1",892:1309
"0",892:1309
"0",892:1309
"0",892:1309
"1",892:1309
"0",892:1309
"0",892:1309
"1",892:1309
"0",892:1309
"0",892:1309
"1",892:1309
"1",892:1309
"0",892:1309
"0",892:1309
"0",892:1309
"0",892:1309
"0",892:1309
"0",892:1309
"0",892:1309
"1",892:1309
"0",892:1309
"1",892:1309
"0",892:1309
"0",892:1309
"0",892:1309
"0",892:1309
"0",892:1309
"1",892:1309
"1",892:1309
"0",892:1309
"0",892:1309
"1",892:1309
"0",892:1309
"1",892:1309
"0",892:1309
"0",892:1309
"1",892:1309
"0",892:1309
"1",892:1309
"0",892:1309
"0",892:1309
"0",892:1309
"0",892:1309
"0",892:1309
"1",892:1309
"1",892:1309
"1",892:1309
"1",892:1309
"1",892:1309
"0",892:1309
"1",892:1309
"0",892:1309
"0",892:1309
"1",892:1309
